temp,r
-1,0.128629679
0,0.379844655
1,0.407
2,0.34
3,0.5265
4,0.444096274
5,0.455397698
6,0.311223084
7,0.494
8,0.423
9,0.779993556
10,0.493987503
11,0.29900000000000004
12,0.41660717849999995
13,0.33
14,0.418
15,0.692829937
16,0.3345
17,0.385
18,0.5198603854999999
19,0.34
20,0.646838092
21,0.450176574
22,0.7222593625
23,0.4665
24,0.5549999999999999
25,0.78672205
26,0.5572903334999999
27,0.607890077
28,0.723
29,0.500452264
30,0.874108739
31,0.49701901550000005
32,0.4177486875
33,0.459540173
34,0.5337043055
35,0.173354291
36,0.14550000000000002
