SST,access_cm2,cams_csm1_0,canesm5_canoe,cesm2,ciesm,cmcc_cm2_sr5,cmcc_esm2,cnrm_cm6_1,cnrm_cm6_1_hr,cnrm_esm2_1,ec_earth3_cc,fgoals_f3_l,fgoals_g3,fio_esm_2_0,hadgem3_gc31_ll,ipsl_cm6a_lr,kiost_esm,mcm_ua_1_0,miroc_es2l,miroc6,nesm3,noresm2_lm,noresm2_mm,ukesm1_0_ll
-4.0,,,,,,,,,,,,,,,,,,,,,,,,
-3.75,,,,,,,,,,,,,,,,,,,,,,,,
-3.5,,,,,,,,,,,,,,,,,,,,,,,,
-3.25,,,,,,,,,,,,,,,,,,,,,,,,
-3.0,,,,,,,,,,,,,,,,,,,,,,,,
-2.75,,,,,,,,,,,,,,,,,,,,,,,,
-2.5,,,,,,,,,,,,,,,,,,,,,,,,
-2.25,,4066.803977116449,138.33698883728047,,,,,138.6467052216387,,,,,,,1290.2670694573217,,,2050099.852214221,,,,1270.9084494929643,1707.8357497773227,1410.8078279552606
-2.0,4107774.5672369646,3166173.976450337,9864322.73238588,4837993.003064647,4420394.362724089,4171827.4151673634,4399687.993585621,4880918.218001616,2684177.998319247,3226003.9642276485,2510166.661265591,8225910.930951355,12790896.840081826,8151238.853999636,4377862.879327578,7454936.491195637,6427027.459108597,17571081.612032574,1916164.8332263017,2456366.9721101467,8434729.197859542,5995725.245119377,7127291.815763444,5799157.096772631
-1.75,5784261.997229133,8743343.124480452,4767275.740642927,5635386.347284566,2256577.10176968,2839646.766959548,3004902.973675905,6323029.027864391,5504561.458707811,4883570.82891099,4160786.378763172,4718556.709563792,7789565.6745489435,3340135.790687964,4106584.2486991775,3846568.7167285336,5751727.272165181,1044508.4584926728,6571043.727613315,5124226.148981377,3180525.236644918,6940901.63273242,7109348.115034378,4224656.207488208
-1.5,1521025.867589304,4115338.2467595297,2358710.697031249,1758162.5079721718,912010.363287961,1038192.5859709363,1100610.3032557387,1777989.9069055573,1395305.761931423,1309196.020910364,1515215.0353498224,1589438.216236454,2347983.9506715643,1333871.0285914775,1304866.5525104043,2255439.928917587,1402524.4767094292,827713.6388315071,880224.8674984231,806260.3890419946,1382471.7531798284,2292657.014245857,2379390.7272956604,1463130.249640929
-1.25,940634.5010995052,2019973.1793145856,1329341.5843591907,1123212.6074116845,694377.9167579422,823755.2891200735,890480.9662245837,1126625.6588299437,956216.6131942453,890713.9608110334,828989.7707781503,1225711.5411390138,1596922.2318745058,995739.3351037737,893150.8434929197,1075193.0750001415,988203.718223373,722738.6999379108,628047.2410727306,560275.2666360863,1200623.0631563067,1508054.000519776,1508507.329513929,1020428.612828923
